cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Pappalardo,2,30,HVG,8,0.85,0.8666666666666666,0.8766666666666667,0.8761904761904763,0.7692307692307693,0.8333333333333333,0.3952847075210474,0.6900655593423543
Pappalardo,2,30,LASSO,8,0.7,0.7000000000000001,0.8392857142857144,0.7453968253968255,0.6666666666666666,0.7142857142857143,0.05976143046671968,0.43033148291193524
Pappalardo,2,30,ElasticNet,8,0.8,0.8,0.852857142857143,0.8211111111111112,0.8333333333333333,0.7142857142857143,0.5976143046671968,0.43033148291193524
Pappalardo,2,50,DE_top,8,0.9,0.9666666666666667,0.942857142857143,0.9666666666666668,0.8333333333333333,0.6666666666666666,0.5976143046671968,0.28867513459481287
Pappalardo,2,50,HVG,8,0.85,0.8666666666666666,0.8766666666666667,0.8761904761904763,0.7692307692307693,0.7272727272727272,0.3952847075210474,0.4666666666666667
Pappalardo,2,50,LASSO,8,0.6000000000000001,0.7333333333333334,0.7644444444444445,0.7116666666666667,0.6153846153846154,0.6666666666666666,-0.31622776601683794,0.28867513459481287
Pappalardo,2,50,ElasticNet,8,0.45,0.8,0.7111111111111112,0.7683333333333333,0.7142857142857143,0.7142857142857143,0.0,0.43033148291193524
Pappalardo,3,5,DE_top,8,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.0,0.28867513459481287
Pappalardo,3,5,HVG,8,0.75,0.5333333333333333,0.8583333333333334,0.5942857142857143,0.6,0.625,0.1,0.0
Pappalardo,3,5,LASSO,8,0.95,0.9666666666666667,0.9666666666666668,0.9666666666666668,0.7692307692307693,0.6666666666666666,0.3952847075210474,0.28867513459481287
Pappalardo,3,5,ElasticNet,8,1.0,0.9,1.0,0.925,0.7142857142857143,0.6666666666666666,0.0,0.28867513459481287
Pappalardo,3,10,DE_top,8,0.9,1.0,0.9266666666666667,1.0,0.8333333333333333,0.7142857142857143,0.5976143046671968,0.43033148291193524
