cohort,fold,K,method,n_cell_types,held_auc,held_ap,held_f1,held_mcc
Pappalardo,5,30,QUBO,8,0.9666666666666667,0.9666666666666668,0.7692307692307693,0.5590169943749475
Pappalardo,5,50,QUBO,8,0.8666666666666666,0.8761904761904763,0.7142857142857143,0.43033148291193524
Heming,1,5,QUBO,8,0.7777777777777777,0.8634920634920634,0.64,0.0
Heming,1,5,QUBO_hybrid,8,0.49382716049382713,0.5358958398174084,0.64,0.0
Heming,1,10,QUBO,8,0.7160493827160493,0.7731481481481481,0.6153846153846153,-0.24253562503633297
Heming,1,10,QUBO_hybrid,8,0.6790123456790123,0.7021164021164021,0.6153846153846153,-0.24253562503633297
Heming,1,15,QUBO,8,0.7160493827160493,0.7275132275132274,0.6153846153846153,-0.24253562503633297
Heming,1,15,QUBO_hybrid,8,0.6790123456790123,0.741005291005291,0.6153846153846153,-0.24253562503633297
Heming,1,20,QUBO,8,0.7530864197530864,0.7634139009139009,0.6956521739130435,0.2672612419124244
Heming,1,20,QUBO_hybrid,8,0.691358024691358,0.7576719576719577,0.6153846153846153,-0.24253562503633297
Heming,1,30,QUBO,8,0.8395061728395061,0.8838183421516754,0.6666666666666667,0.14907119849998599
Heming,1,50,QUBO,8,0.8148148148148148,0.8517195767195767,0.6666666666666667,0.14907119849998599
Heming,2,5,QUBO,8,0.8024691358024691,0.8532407407407407,0.761904761904762,0.4714045207910316
Heming,2,5,QUBO_hybrid,8,0.7160493827160495,0.7607202982202983,0.7272727272727274,0.3721042037676254
Heming,2,10,QUBO,8,0.6419753086419753,0.7023148148148148,0.6363636363636364,0.12403473458920847
Heming,2,10,QUBO_hybrid,8,0.7654320987654321,0.8093314093314092,0.6956521739130435,0.2672612419124244
Heming,2,15,QUBO,8,0.5679012345679012,0.6432525807525807,0.6363636363636364,0.12403473458920847
Heming,2,15,QUBO_hybrid,8,0.691358024691358,0.7526353276353277,0.6956521739130435,0.2672612419124244
Heming,2,20,QUBO,8,0.691358024691358,0.7235680441562795,0.6956521739130435,0.2672612419124244
Heming,2,20,QUBO_hybrid,8,0.6666666666666667,0.7365411821294174,0.6666666666666667,0.14907119849998599
Heming,2,30,QUBO,8,0.691358024691358,0.7532679738562091,0.6086956521739131,0.0
Heming,2,50,QUBO,8,0.6296296296296295,0.6831307581307582,0.6666666666666666,0.2357022603955158
