method,holdout,fold,cell_type,rho
DE_top,Heming,4,NK,0.3818206896672788
DE_top,Heming,4,dnT,0.3462800831219449
DE_top,Heming,4,gdT,0.3359528725735429
DE_top,Heming,5,B,0.2832362868874486
DE_top,Heming,5,CD4_T,0.7585681585196721
DE_top,Heming,5,CD8_T,0.3059401014143467
DE_top,Heming,5,DC,0.4725034278675373
DE_top,Heming,5,Mono,0.3032856078704677
DE_top,Heming,5,NK,0.297121756726927
DE_top,Heming,5,dnT,0.2711757197993242
DE_top,Heming,5,gdT,0.2964874508042661
ElasticNet,Heming,3,B,0.5673763960633523
ElasticNet,Heming,3,CD4_T,0.6894378636639581
ElasticNet,Heming,3,CD8_T,0.6496985449259995
ElasticNet,Heming,3,DC,0.5571620704799514
ElasticNet,Heming,3,Mono,0.625851581988693
ElasticNet,Heming,3,NK,0.6674183399707461
ElasticNet,Heming,3,dnT,0.3823044423990909
ElasticNet,Heming,3,gdT,0.4658693239825765
ElasticNet,Heming,4,B,0.6418681059003284
ElasticNet,Heming,4,CD4_T,0.749536912181506
ElasticNet,Heming,4,CD8_T,0.6055255577857366
ElasticNet,Heming,4,DC,0.5126819274003543
ElasticNet,Heming,4,Mono,0.3368233979171989
ElasticNet,Heming,4,NK,0.6850001734156567
ElasticNet,Heming,4,dnT,0.5099682875803079
ElasticNet,Heming,4,gdT,0.5352523942027059
ElasticNet,Heming,5,B,0.5689767211771756
ElasticNet,Heming,5,CD4_T,0.7443978608323846
ElasticNet,Heming,5,CD8_T,0.6795463590785719
ElasticNet,Heming,5,DC,0.7193075597945946
ElasticNet,Heming,5,Mono,0.4750888353974841
ElasticNet,Heming,5,NK,0.6745242202549492
ElasticNet,Heming,5,dnT,0.4800195665179216
ElasticNet,Heming,5,gdT,0.3847224193390366
HVG,Heming,3,B,0.3115626285561653
HVG,Heming,3,CD4_T,0.4967020525341413
HVG,Heming,3,CD8_T,0.4424796280584837
HVG,Heming,3,DC,0.2610692502838274
HVG,Heming,3,Mono,0.5619653581030489
HVG,Heming,3,NK,0.2767247070006152
HVG,Heming,3,dnT,0.7985835386433771
HVG,Heming,3,gdT,0.353587288625259
HVG,Heming,4,B,0.2623979109719441
HVG,Heming,4,CD4_T,0.5880967809243909
HVG,Heming,4,CD8_T,0.4066177057594058
HVG,Heming,4,DC,0.3247409340221834
HVG,Heming,4,Mono,0.4794814222100099
HVG,Heming,4,NK,0.4754996695032032
HVG,Heming,4,dnT,0.7302991055643058
HVG,Heming,4,gdT,0.3313152350808507
HVG,Heming,5,B,0.3185998722572183
HVG,Heming,5,CD4_T,0.4755938423879213
HVG,Heming,5,CD8_T,0.4234378056211677
HVG,Heming,5,DC,0.281882002352469
HVG,Heming,5,Mono,0.4740973910510469
HVG,Heming,5,NK,0.4058988785682906
HVG,Heming,5,dnT,0.7472130826572412
HVG,Heming,5,gdT,0.3139045587396299
LASSO,Heming,3,B,0.470734504364019
LASSO,Heming,3,CD4_T,0.2320225682536651
LASSO,Heming,3,CD8_T,0.2909244083841323
LASSO,Heming,3,DC,0.3369401880109893
LASSO,Heming,3,Mono,0.3388317618183684
LASSO,Heming,3,NK,0.2525097316792372
LASSO,Heming,3,dnT,0.2613574703452385
LASSO,Heming,3,gdT,0.3149253132451644
LASSO,Heming,4,B,0.4257166997099932
LASSO,Heming,4,CD4_T,0.421297951468673
LASSO,Heming,4,CD8_T,0.3852496835724365
LASSO,Heming,4,DC,0.3531900371650279
LASSO,Heming,4,Mono,0.1788077268090121
LASSO,Heming,4,NK,0.3129127641185544
LASSO,Heming,4,dnT,0.4107417548469789
LASSO,Heming,4,gdT,0.2481355468742637
LASSO,Heming,5,B,0.3649109958117481
LASSO,Heming,5,CD4_T,0.3747972234110183
